,AcresBurned,ArchiveYear,Counties,CountyIds,CrewsInvolved,Fatalities,Latitude,Longitude,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,UniqueId,Year,Month,Year-Month
59,200.0,2013,San Bernardino,36,,,34.2,-117.417,Sierra Fire,,2013-09-24 15:51:00+00:00,,,f7358513-329f-4dba-8980-4cd3a19b469a,2013,09,2013-09
60,200.0,2013,Tehama,52,,,40.012398,-122.079871,Vina Fire,,2013-07-04 07:30:00+00:00,,,c94959d7-eb88-4724-8feb-ba0662afca10,2013,07,2013-07
61,196.0,2013,Shasta,45,24.0,,40.5445,-121.3754,Burney Lightning Series (Warner Fire),347.0,2013-08-19 17:48:00+00:00,,,f21a41c6-0905-4531-9bdf-2456d0051eed,2013,08,2013-08
62,195.0,2013,Tehama,52,,,39.961309,-122.33087900000001,Paskenta Fire,,2013-07-19 13:32:00+00:00,,,4423899b-6197-4ef5-9f73-bca1763f17e6,2013,07,2013-07
63,190.0,2013,Napa,28,6.0,,38.382,-122.311,Silverado Fire,150.0,2013-11-21 21:39:00+00:00,,1.0,79d476e5-0b4d-48e2-a105-2bba5c1140e9,2013,11,2013-11
64,170.0,2013,Santa Barbara,42,,,34.611824,-120.074655,Olive Fire,,2013-05-28 15:24:00+00:00,,,cb5f34a0-177e-445d-9349-dd94063a01d0,2013,05,2013-05
65,163.0,2013,Yolo,57,,,38.67479,-122.08725,Capay Fire,,2013-11-04 11:41:00+00:00,,,0aa08938-eaab-4a60-8891-946197328f94,2013,11,2013-11
66,163.0,2013,El Dorado,"9,34",,,38.63987,-121.08438000000001,50 Fire,,2013-07-19 14:12:00+00:00,,,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,2013,07,2013-07
68,159.0,2013,Sonoma,49,,,38.34599,-122.6503,Crane Fire,,2013-10-04 12:25:00+00:00,,,1460f2d9-853b-4901-bed3-ac196e00bb3a,2013,10,2013-10
69,158.0,2013,Sonoma,49,,,38.17693,-122.51253,Lakeville Fire,,2013-07-26 13:45:00+00:00,,,c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,2013,07,2013-07
70,150.0,2013,Alameda,1,,,0.0,0.0,Highland Fire,,2013-10-04 07:35:00+00:00,,,6a48000a-6198-46dd-9a91-0b0159183145,2013,10,2013-10
71,150.0,2013,Riverside,33,,,33.990128000000006,-117.164997,Redlands Fire,,2013-07-16 17:48:00+00:00,,,d48a839f-d8da-44d7-9b35-b9f61aa28c61,2013,07,2013-07
72,150.0,2013,Stanislaus,50,,,37.436,-121.1955,Diablo Fire,,2013-07-12 15:35:00+00:00,,,873074c8-4b6d-417b-a78c-1d1430027805,2013,07,2013-07
