UniqueId,Year-Month,Counties,AcresBurned,Month_x,COUNTY,MEDIAN_TMAX,MEAN_PRCP,cum_prcp
794412f2-1ba2-4217-ac38-49272a96fb6f,2013-05,LosAngeles,149.0,5,LosAngeles,78.3,0.598039215686274,3.43725490196078
64e4f81e-d872-44c4-ba8d-111fa77124ba,2013-05,Sonoma,125.0,5,Sonoma,74.9111111111111,0.303214285714286,5.31648924731183
2b403f03-fe84-450a-90b7-befb8acc7e70,2013-06,Solano,124.0,6,Solano,89.7,0.09,3.0
f9e85371-fc46-4f54-822c-7dcdaadde551,2013-06,Merced,124.0,6,Merced,91.9,0.018,2.098
9795afee-7e60-4ab3-b5c3-7df67f91c5f9,2013-05,Riverside,124.0,5,Riverside,84.3,0.2225,2.75566174055829
20ba8b6b-78d4-46a7-995b-d8fa38cbf3b8,2013-11,Lake,120.0,11,Lake,65.4,0.946,7.54816666666667
db009f8f-8b9d-44bb-a3f6-83f319c84d72,2013-08,ElDorado,116.0,8,ElDorado,82.7,0.21,10.3844230769231
c7f05927-66a4-403c-9048-aeb42eca0211,2013-08,SanBernardino,110.0,8,SanBernardino,94.5,0.486,2.49412713831867
a2cfda2a-21c1-4e45-90b5-37d931b4a926,2013-06,Fresno,108.0,6,Fresno,90.15,0.0,2.8958869047619
58317b8d-7f4d-466f-b2c7-035c25fb00f0,2013-06,Monterey,105.0,6,Monterey,79.9,0.0393333333333333,3.0447256621947
c6044e8d-c054-44f2-bc92-24510df4deef,2013-08,LosAngeles,100.0,8,LosAngeles,88.75,0.0207692307692308,3.52036138763198
98bfbb7c-8446-4e2e-a268-7e961353723c,2013-06,Tuolumne,100.0,6,Tuolumne,66.9,0.0,3.86
e077e091-f890-477c-b948-eb23774b432e,2013-05,SanDiego,100.0,5,SanDiego,75.65,0.498,4.37164329763064
b20a2031-12c9-4e9c-9f44-ac82c26e6c66,2013-09,Mendocino,98.0,9,Mendocino,78.5875,1.22538461538462,10.1388846153846
308ce8d5-67c8-4edb-9e2f-bf6295f98d7e,2013-09,Modoc,97.0,9,Modoc,71.0,1.299,10.4622222222222
b5109726-5e91-4c10-96f8-2a5bb72e5a59,2013-08,SanBernardino,97.0,8,SanBernardino,94.5,0.486,2.49412713831867
2b84c8a2-e2e8-45a2-9221-e8075608c218,2013-08,Lassen,97.0,8,Lassen,83.85,0.3375,4.45833333333333
bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,2013-06,Amador,96.0,6,Amador,83.2,1.25,9.92666666666667
ac469123-da14-4821-b824-c6cf66138514,2013-09,SanLuisObispo,94.0,9,SanLuisObispo,87.7,0.00333333333333333,2.82205555555556
0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,2013-08,Butte,92.0,8,Butte,90.6,0.0261538461538462,6.67324475524476
