AcresBurned,Counties,Name,UniqueId
4772,Mariposa,Meadow Fire,8bc9d00d-5f81-4a73-b14f-8145890c8d50
4736,Trinity,Ruth Complex,9eb07177-e62a-4f5a-adeb-e95508e31959
4689,Mariposa,El Portal Fire,3383fa93-aaf8-4f81-a980-5ba86b893039
4615,Los Angeles,Tick Fire,020310d3-7834-4f57-a125-eff0eb3f54e5
4564,Merced,Planada Fire,3de50f18-061e-40f4-8ee4-8a3d3ef25fb1
4531,Ventura,Hill Fire,bc95da49-28a0-4e56-88d9-72e7455063c0
4500,Solano,Branscombe Fire,0f754948-aba7-4423-b8f6-079f68d4d294
4474,Santa Clara,Loma Fire,2dfac408-d2ab-4ff9-94aa-91be9d07bb59
4347,Tulare,Meadow Fire,89c304db-e288-4582-90d4-884d57fd71f9
4346,Kern,Grand Fire,e0d038e9-0926-4c05-8317-ec7075a04b12
4310,Plumas,Minerva Fire,a95302d3-8574-4900-9d2a-daa33c55b70e
4300,Napa,Butts Fire,2437bb57-1d09-4892-8c26-a60661dae1d9
4250,San Bernardino,North Fire,3d81d2e5-d6e5-4368-864b-a9e29e7e5022
4240,Amador,Sand Fire,4d07ccc3-32be-4a1d-acac-18333884c97d
4100,San Diego,Lilac Fire,fc4fcd00-8eee-43e5-b77f-bbd0c1669744
4064,Madera,Lions Fire,b17eb5bf-c44a-4e13-99d0-bbdf5e8f8f67
4045,Kern,Way Fire,4b281a55-65b6-43e8-bab2-3689356d82e5
4016,Butte,Ponderosa Fire,7c9253af-4c43-41bb-b1de-44af15e0d83e
3929,Lake,Clayton Fire,a0950d5e-6f35-4023-bb60-6737146ba7bd
3895,Kern,Shirley Fire,8ede9823-938e-4786-97b8-a0f42b852cb2
3889,Tehama,Sun Fire,8f633ae7-b5f0-455f-a60e-13d9566e5844
3876,Monterey,Metz Fire,55fa95e6-f09e-42c4-889b-a4b5b63dccf2
3874,Riverside,Palmer Fire,cfa04438-152b-4f4b-a712-4343af8c7fcf
3716,Tehama,Lane Fire,299d84d9-ff65-4669-bcd7-cb5abb191c75
3712,San Luis Obispo,Roberts Fire,50f908c4-841a-4125-8563-5c3e1866ff8a
3676,Mono,Walker Fire,a195c911-2179-4591-ab00-e67297f2db04
3674,Humboldt,Mill Creek 1 Fire,d3ead5e1-12bb-4d27-8c1d-c723c0747265
3505,Sonoma,McCabe Fire,b4bc1480-cbb8-4ef2-8d5f-88a496d21d10
3435,El Dorado,Caples Fire,451c3012-2831-44c1-8fc7-146fd02d2ce0
3380,Lassen,R-1 Fire,4ee8f023-1c92-4266-bb79-d41fdb3a5826
3380,Los Angeles,Charlie Fire,4fa2e1e0-a920-4991-beb6-3c080b6c1500
3166,Riverside,Summit Fire,a1b14be5-a8cf-4e40-8588-96becf4c5879
3142,Siskiyou,Young Fire,687e2987-2306-477b-bbaf-0d5465eb1e7c
